id,stageId,kanji,grade,questionType,question,choice1,choice2,choice3,choice4,correctAnswer,explanation
s10-q001,10,浅,4,reading,「浅」の読み方を選びなさい。,せん,しょう,あさ,うす,0,浅は「せん」「あさ（い）」と読みます
s10-q002,10,然,4,reading,「然」の読み方を選びなさい。,ぜん,ねん,しか,もえ,0,然は「ぜん」「ねん」と読みます
s10-q003,10,争,4,reading,「争」の読み方を選びなさい。,そう,しょう,あらそ,たたか,0,争は「そう」「あらそ（う）」と読みます
s10-q004,10,倉,4,reading,「倉」の読み方を選びなさい。,そう,ぞう,くら,いえ,0,倉は「そう」「くら」と読みます
s10-q005,10,巣,4,reading,「巣」の読み方を選びなさい。,そう,す,すみか,やど,0,巣は「そう」「す」と読みます
s10-q006,10,側,4,reading,「側」の読み方を選びなさい。,そく,しょく,がわ,かた,0,側は「そく」「がわ」と読みます
s10-q007,10,束,4,reading,「束」の読み方を選びなさい。,そく,しょく,たば,しば,0,束は「そく」「たば」と読みます
s10-q008,10,続,4,reading,「続」の読み方を選びなさい。,ぞく,そく,つづ,つら,0,続は「ぞく」「つづ（く）」と読みます
s10-q009,10,卒,4,reading,「卒」の読み方を選びなさい。,そつ,しゅう,お,しもべ,0,卒は「そつ」と読みます
s10-q010,10,孫,4,reading,「孫」の読み方を選びなさい。,そん,しん,まご,こ,0,孫は「そん」「まご」と読みます
s10-q011,10,帯,4,reading,「帯」の読み方を選びなさい。,たい,だい,お,おび,0,帯は「たい」「おび」「お（びる）」と読みます
s10-q012,10,隊,4,reading,「隊」の読み方を選びなさい。,たい,だい,くみ,ぐん,0,隊は「たい」と読みます
s10-q013,10,達,4,reading,「達」の読み方を選びなさい。,たつ,だつ,たち,ども,0,達は「たつ」「だち」と読みます
s10-q014,10,単,4,reading,「単」の読み方を選びなさい。,たん,だん,ひとえ,ひと,0,単は「たん」と読みます
s10-q015,10,置,4,reading,「置」の読み方を選びなさい。,ち,じ,お,す,0,置は「ち」「お（く）」と読みます
s10-q016,10,仲,4,reading,「仲」の読み方を選びなさい。,ちゅう,じゅう,なか,あいだ,0,仲は「ちゅう」「なか」と読みます
s10-q017,10,貯,4,reading,「貯」の読み方を選びなさい。,ちょ,じょ,た,つみ,0,貯は「ちょ」と読みます
s10-q018,10,兆,4,reading,「兆」の読み方を選びなさい。,ちょう,じょう,きざ,しる,0,兆は「ちょう」「きざ（す）」と読みます
s10-q019,10,腸,4,reading,「腸」の読み方を選びなさい。,ちょう,じょう,はらわた,わた,0,腸は「ちょう」と読みます
s10-q020,10,低,4,reading,「低」の読み方を選びなさい。,てい,じょう,ひく,さが,0,低は「てい」「ひく（い）」と読みます
s10-q021,10,浅,4,bushu,「浅」の部首を選びなさい。,さんずい,にすい,ひへん,にんべん,0,浅の部首は「さんずい（水）」です
s10-q022,10,争,4,bushu,「争」の部首を選びなさい。,つめかんむり,うかんむり,わかんむり,あなかんむり,0,争の部首は「つめかんむり」です
s10-q023,10,倉,4,bushu,「倉」の部首を選びなさい。,にんべん,ひとやね,うかんむり,ひとあし,0,倉の部首は「にんべん（人）」です
s10-q024,10,巣,4,bushu,「巣」の部首を選びなさい。,きへん,すんづくり,いとへん,やまへん,0,巣の部首は「きへん（巛）」ですが、実際は「巛（まがりがわ、かわ）」が正しい部首です
s10-q025,10,側,4,bushu,「側」の部首を選びなさい。,にんべん,ぎょうにんべん,りっしんべん,てへん,0,側の部首は「にんべん（人）」です
s10-q026,10,続,4,bushu,「続」の部首を選びなさい。,いとへん,てへん,きへん,のぎへん,0,続の部首は「いとへん（糸）」です
