id,stageId,kanji,grade,questionType,question,choice1,choice2,choice3,choice4,correctAnswer,explanation
s7-q001,7,島,3,reading,「島」の読み方を選びなさい。,しま,とう,なかじま,みさき,0,島は「しま」「とう」と読みます
s7-q002,7,湯,3,reading,「湯」の読み方を選びなさい。,ゆ,とう,あつ,みず,0,湯は「ゆ」「とう」と読みます
s7-q003,7,登,3,reading,「登」の読み方を選びなさい。,のぼ,とう,と,あ,0,登は「のぼ（る）」「とう」「と」と読みます
s7-q004,7,等,3,reading,「等」の読み方を選びなさい。,とう,ひと,など,そろ,0,等は「とう」「など」と読みます
s7-q005,7,動,3,reading,「動」の読み方を選びなさい。,うご,どう,ゆ,しず,0,動は「うご（く）」「どう」と読みます
s7-q006,7,童,3,reading,「童」の読み方を選びなさい。,どう,わらべ,わら,こ,0,童は「どう」「わらべ」と読みます
s7-q007,7,農,3,reading,「農」の読み方を選びなさい。,のう,た,はたけ,みのり,0,農は「のう」と読みます
s7-q008,7,波,3,reading,「波」の読み方を選びなさい。,なみ,は,ば,うみ,0,波は「なみ」「は」と読みます
s7-q009,7,配,3,reading,「配」の読み方を選びなさい。,くば,はい,わ,くみ,0,配は「くば（る）」「はい」と読みます
s7-q010,7,倍,3,reading,「倍」の読み方を選びなさい。,ばい,ばえ,ます,そう,0,倍は「ばい」と読みます
s7-q011,7,箱,3,reading,「箱」の読み方を選びなさい。,はこ,そう,いれ,ばこ,0,箱は「はこ」と読みます
s7-q012,7,畑,3,reading,「畑」の読み方を選びなさい。,はたけ,はた,ばたけ,た,0,畑は「はたけ」「はた」と読みます
s7-q013,7,発,3,reading,「発」の読み方を選びなさい。,はつ,ほつ,はっ,た,0,発は「はつ」「ほつ」「はっ」と読みます
s7-q014,7,反,3,reading,「反」の読み方を選びなさい。,そ,はん,たん,かえ,0,反は「そ（る）」「はん」「たん」と読みます
s7-q015,7,坂,3,reading,「坂」の読み方を選びなさい。,さか,はん,ばん,のぼ,0,坂は「さか」と読みます
s7-q016,7,板,3,reading,「板」の読み方を選びなさい。,いた,はん,ばん,ばん,0,板は「いた」「はん」「ばん」と読みます
s7-q017,7,皮,3,reading,「皮」の読み方を選びなさい。,かわ,ひ,けがわ,かく,0,皮は「かわ」「ひ」と読みます
s7-q018,7,悲,3,reading,「悲」の読み方を選びなさい。,かな,ひ,いた,なげ,0,悲は「かな（しい）」「ひ」と読みます
s7-q019,7,美,3,reading,「美」の読み方を選びなさい。,うつく,び,み,よ,0,美は「うつく（しい）」「び」「み」と読みます
s7-q020,7,鼻,3,reading,「鼻」の読み方を選びなさい。,はな,び,くち,め,0,鼻は「はな」「び」と読みます
s7-q021,7,島,3,bushu,「島」の部首の名前を選びなさい。,やま,やまへん,しま,とう,0,島の部首は「やま」です
s7-q022,7,湯,3,bushu,「湯」の部首の名前を選びなさい。,さんずい,ゆ,とう,みず,0,湯の部首は「さんずい」です
s7-q023,7,動,3,bushu,「動」の部首の名前を選びなさい。,ちから,うご,どう,りき,0,動の部首は「ちから」です
s7-q024,7,波,3,bushu,「波」の部首の名前を選びなさい。,さんずい,なみ,は,みず,0,波の部首は「さんずい」です
s7-q025,7,箱,3,bushu,「箱」の部首の名前を選びなさい。,たけかんむり,はこ,そう,たけ,0,箱の部首は「たけかんむり」です
s7-q026,7,畑,3,bushu,「畑」の部首の名前を選びなさい。,た,たへん,はたけ,はた,0,畑の部首は「た」です
s7-q027,7,坂,3,bushu,「坂」の部首の名前を選びなさい。,つちへん,さか,はん,つち,0,坂の部首は「つちへん」です
s7-q028,7,愛,4,bushu,「愛」の部首の名前を選びなさい。,こころ,したごころ,あい,りっしんべん,0,愛の部首は「こころ」です
s7-q029,7,登,3,okurigana,「登（　）」の正しい送り仮名を選びなさい。,る,って,らす,れる,0,登るが正解です
s7-q030,7,動,3,okurigana,「動（　）」の正しい送り仮名を選びなさい。,く,かす,いて,ける,0,動くが正解です
s7-q031,7,配,3,okurigana,「配（　）」の正しい送り仮名を選びなさい。,る,って,らす,れる,0,配るが正解です
s7-q032,7,発,3,okurigana,「発（　）」の正しい送り仮名を選びなさい。,つ,する,って,した,0,発つが正解です
s7-q033,7,反,3,okurigana,「反（　）」の正しい送り仮名を選びなさい。,る,らす,って,れる,0,反るが正解です
s7-q034,7,悲,3,okurigana,「悲（　）」の正しい送り仮名を選びなさい。,しい,しむ,しんで,しまない,0,悲しいが正解です
s7-q035,7,美醜,3,antonym,「美」の対義語を選びなさい。,醜,悪,汚,穢,0,美の反対は醜です
s7-q036,7,発着,3,antonym,「発」の対義語を選びなさい。,着,到,止,終,0,発の反対は着です
